SP_CODE,FAMILY,NAME,LIFESPAN,TYPE,NATIVE,PollinatorResource,BEE,BUTTERFLY,FLY,MOTHS,BEETLES,Notes
LYSARV,Primulaceae,Lysimachia arvensis,A,F,N,Y,N,N,N,N,N,"INSECTS, AND SELF http://www.pfaf.org/user/Plant.aspx?LatinName=Anagallis+arvensis"
MICCAL,Asteraceae,Micropus californicus,A,F,Y,N,N,N,N,N,N,
MICDOU,Asteraceae,Microseris douglasii,A,F,Y,Y,Y,N,N,N,N,
MICGRA,Polemoniaceae,Microsteris gracilis,A,F,Y,Y,Y,N,N,N,N,
MICRANCAL,Saxifragaceae,Micranthes californica,P,F,Y,N,N,N,N,N,N,"UNK self pollinating , OTHER SPECIES LISTED AS FLIES, BEES & BUTTERFLIES"
NEMHET,Boraginaceae,Nemophila heterophylla,A,F,Y,Y,Y,N,N,N,N,"nem menz = bees, http://www.pollinator.org/PDFs/Calif.DrySteppe.rx2.pdf"
PETDUB,Caryophyllaceae,Petrorhagia dubia,A,F,N,N,N,N,N,N,N,UNKÄ
PHAAQU,Poaceae,Phalaris aquatica,P,G,N,N,N,N,N,N,N,
PLAERE,Plantaginaceae,Plantago erecta,A,F,Y,N,N,N,N,N,N,
PLATEN,Boraginaceae,Plagiobothrys tenellus,A,F,Y,Y,N,N,N,Y,N,
PLECON,Valerianaceae,Plectritis congesta,A,F,Y,N,N,N,N,N,N,
Poaceae,Poaceae,"unk, unflowering Grass species",A,G,N,N,N,N,N,N,N,
PRIHEN,Primulaceae,Primula hendersonii,P,F,Y,Y,Y,N,N,N,N,"buzz pollinated, http://pacificbulbsociety.org/pbswiki/index.php/Dodecatheon"
RANOCC,Ranunculaceae,Ranunculus occidentalis,P,F,Y,Y,N,N,Y,N,Y,s & B flies and beetles - observed
RIGLEP,Asteraceae,Rigiopappus leptocladus,A,F,Y,N,N,N,N,N,N,generally self pollinated
ROMROS,Iridaceae,Romulea rosea,P,F,N,Y,Y,N,N,N,N,Goldblatt et al 2002 http://sciencepress.mnhn.fr/sites/default/files/articles/pdf/a2002n2a12.pdf
RUMACE,Polygonaceae,Rumex acetosella,P,F,N,N,N,N,N,N,N,
SANBIP,Apiaceae,Sanicula bipinnatifida,P,F,Y,Y,N,N,N,N,N,generalist insects https://www.registrelep-sararegistry.gc.ca/species/speciesDetails_e.cfm?sid=677
SHEARV,Rubiaceae,Sherardia arvensis,A,F,N,Y,N,N,Y,N,N,flies - http://www.pfaf.org/user/Plant.aspx?LatinName=Sherardia+arvensis
SIDMAL,Malvaceae,Sidalcea malviflora subsp. laciniata,P,F,Y,Y,N,N,N,N,N,"""Pollinated by insects"" http://www.pfaf.org/USER/Plant.aspx?LatinName=Sidalcea+malviflora"
